,closing_prices,predicted_prices
155,199.85687255859375,194.10601806640625
156,195.85655212402344,194.56170654296875
157,197.9614715576172,194.06805419921875
158,203.01922607421875,193.53585815429688
159,204.20635986328125,194.0937042236328
160,205.7626037597656,195.3959503173828
161,210.19189453125,197.05296325683594
162,207.747802734375,199.29742431640625
163,212.3167724609375,200.93858337402344
164,213.80317687988278,202.64906311035156
165,213.1547393798828,204.3384246826172
166,206.57066345214844,205.52590942382812
167,207.8475799560547,204.97976684570312
168,207.53831481933594,203.8272247314453
169,203.42825317382812,202.66696166992188
170,202.39076232910156,201.0681915283203
171,211.0897369384766,199.40814208984375
172,208.24659729003906,199.75833129882812
173,211.23936462402344,200.69569396972656
174,202.05157470703122,202.19410705566406
175,200.8145751953125,201.9855194091797
176,203.35842895507812,200.60397338867188
