,opening_price
326,162.4736691835862
327,151.62019805071628
328,164.4533434381745
329,172.89935268000843
330,167.6168611763203
331,165.18950982659513
332,161.76734629103967
333,150.2174979272684
334,157.34039822677371
335,156.31574018451988
336,144.54703970795146
337,146.7356247903874
338,139.27449876815305
339,139.27450952630608
340,137.28486747567234
341,142.03016089053466
342,145.24341339151707
343,136.30000615500785
344,143.0050783769355
345,148.13832327156163
346,147.63097258330484
347,150.96360442368308
348,151.65004842796262
349,158.57396013818416
350,152.20713412336096
351,151.07303920260946
352,154.29625987703645
353,159.48919857784995
354,168.7111562935931
355,164.81147169432217
356,165.49790450194976
357,163.4983359484604
358,168.12422464135474
359,170.31281953101325
360,173.39675217425332
361,178.56981429729692
362,175.7146881404448
363,172.6009063076569
364,170.5018368782699
365,173.2077397418884
366,171.16836007810667
367,175.67488678070472
368,174.68006937369273
369,172.3223538044758
370,179.06721044637385
371,174.88899656951065
372,173.58577466330755
373,179.68399881047563
374,181.13644743640268
375,183.21561314584287
376,184.02139454642656
377,182.20088542819047
378,185.8319706472791
379,181.6040050321918
380,176.61995629513882
381,178.13208658073543
382,184.7874102944795
383,184.07114467303728
384,184.36432397928067
385,184.95290624956849
386,182.74823870370994
387,185.8906426917557
388,179.76544864295616
389,180.30415806444861
390,182.28933993465614
391,182.09980517930765
392,183.8056839957743
393,184.37431853761305
394,183.85555880108365
395,182.17960848004438
396,185.49161455055668
397,187.54663806997064
398,190.6691038489842
399,192.66427382826203
400,190.08051294478267
401,184.13488849940262
402,192.42484236362722
403,194.55967938540897
404,193.5321754312986
405,198.11110459772738
406,195.3178471590834
407,201.60265432479892
408,201.11385772838446
409,197.32300451543895
410,199.24834693682632
411,195.30788239806603
412,197.40281328306847
413,202.65012426198524
414,205.1840005884207
415,208.32640890173488
416,209.94249436472143
417,209.5634335488489
418,215.80832430609829
419,213.10485690898392
420,213.96278286348326
421,205.63293216289176
422,209.054653674389
423,204.90467995031605
424,203.97692441102797
425,204.505646617128
426,213.14476042927697
427,208.69551090764733
428,206.69037051709034
429,199.9366924132325
430,200.9841633706641
431,203.1189990063368
432,202.01168116922133
433,200.51529403664952
434,203.90708015674522
435,211.00992369865236
436,213.65353279837942
437,214.38176335601926
438,211.82793796963628
439,214.33190074670563
440,211.1595535384757
441,206.66044025060287
442,204.79494247762344
443,208.93493727639418
444,208.25657844744217
445,209.0945657949415
446,210.02230407720404
447,211.49000549316406
448,209.5399932861328
449,213.86000061035156
450,214.7899932861328
451,213.10000610351562
452,217.8800048828125
453,222.88999938964844
454,228.17999267578125
455,227.0
456,225.50999450683594
457,227.97000122070312
458,229.27000427246094
459,215.10000610351562
460,206.5
461,207.60000610351562
462,213.39999389648438
463,207.1999969482422
464,204.24000549316406
465,208.4199981689453
466,210.6199951171875
467,200.0500030517578
468,202.8000030517578
469,197.19000244140625
470,205.05999755859375
471,207.89999389648438
472,199.85000610351562
473,203.5500030517578
474,210.8800048828125
475,209.35000610351562
476,207.72999572753906
477,213.49000549316406
478,208.0
479,207.22000122070312
480,208.82000732421875
481,207.05999755859375
482,210.50999450683594
483,211.22999572753906
484,218.7899932861328
485,222.72000122070312
486,223.0
487,217.10000610351562
488,220.14999389648438
489,220.4199981689453
490,215.8000030517578
491,213.1199951171875
492,213.92999267578125
493,215.02999877929688
494,213.85000610351562
495,211.58999633789062
496,207.6699981689453
497,204.07000732421875
498,203.5
499,204.2899932861328
500,203.88999938964844
501,214.02000427246094
502,222.0399932861328
503,222.25999450683594
