Index,closing_prices,predicted_prices
147,1442.719970703125,1403.4554443359375
148,1451.1199951171875,1435.9117431640625
149,1435.9599609375,1431.237548828125
150,1431.719970703125,1414.6949462890625
151,1451.8599853515625,1418.4222412109375
152,1464.4100341796875,1441.55908203125
153,1431.969970703125,1445.75048828125
154,1441.3299560546875,1404.0972900390625
155,1359.9000244140623,1436.7069091796875
156,1394.969970703125,1319.9703369140625
157,1413.6099853515625,1414.933349609375
158,1438.0400390625,1394.603759765625
159,1464.699951171875,1430.3621826171875
160,1495.699951171875,1447.5577392578125
161,1485.1800537109375,1477.721435546875
162,1496.0000000000002,1452.8641357421875
163,1510.989990234375,1481.3170166015625
164,1541.739990234375,1488.787841796875
165,1511.3399658203125,1524.2080078125
166,1520.5799560546875,1470.72998046875
167,1513.6400146484375,1512.835693359375
168,1518.0,1484.761474609375
